項目,世帯区分,年間収入五分位,時期,値,単位
実収入,勤労者世帯,年収五分位1,2000000103,222717,円
実収入,勤労者世帯,年収五分位1,2000000406,253067,円
実収入,勤労者世帯,年収五分位1,2000000709,240579,円
実収入,勤労者世帯,年収五分位1,2000001012,284749,円
実収入,勤労者世帯,年収五分位1,2001000103,215802,円
実収入,勤労者世帯,年収五分位1,2001000406,262525,円
実収入,勤労者世帯,年収五分位1,2001000709,233100,円
実収入,勤労者世帯,年収五分位1,2001001012,266313,円
実収入,勤労者世帯,年収五分位1,2002000103,219372,円
実収入,勤労者世帯,年収五分位1,2002000406,238704,円
実収入,勤労者世帯,年収五分位1,2002000709,235540,円
実収入,勤労者世帯,年収五分位1,2002001012,255819,円
実収入,勤労者世帯,年収五分位1,2003000103,211720,円
実収入,勤労者世帯,年収五分位1,2003000406,240884,円
実収入,勤労者世帯,年収五分位1,2003000709,224731,円
実収入,勤労者世帯,年収五分位1,2003001012,270826,円
実収入,勤労者世帯,年収五分位1,2004000103,216589,円
実収入,勤労者世帯,年収五分位1,2004000406,247496,円
実収入,勤労者世帯,年収五分位1,2004000709,226881,円
実収入,勤労者世帯,年収五分位1,2004001012,267222,円
実収入,勤労者世帯,年収五分位1,2005000103,216278,円
実収入,勤労者世帯,年収五分位1,2005000406,230735,円
実収入,勤労者世帯,年収五分位1,2005000709,225280,円
実収入,勤労者世帯,年収五分位1,2005001012,258484,円
実収入,勤労者世帯,年収五分位1,2006000103,212208,円
実収入,勤労者世帯,年収五分位1,2006000406,233261,円
実収入,勤労者世帯,年収五分位1,2006000709,223655,円
実収入,勤労者世帯,年収五分位1,2006001012,260243,円
実収入,勤労者世帯,年収五分位1,2007000103,217158,円
実収入,勤労者世帯,年収五分位1,2007000406,241483,円
実収入,勤労者世帯,年収五分位1,2007000709,224639,円
実収入,勤労者世帯,年収五分位1,2007001012,279836,円
実収入,勤労者世帯,年収五分位1,2008000103,230361,円
実収入,勤労者世帯,年収五分位1,2008000406,244073,円
実収入,勤労者世帯,年収五分位1,2008000709,238567,円
実収入,勤労者世帯,年収五分位1,2008001012,268290,円
実収入,勤労者世帯,年収五分位1,2009000103,207373,円
実収入,勤労者世帯,年収五分位1,2009000406,242762,円
実収入,勤労者世帯,年収五分位1,2009000709,225302,円
実収入,勤労者世帯,年収五分位1,2009001012,259186,円
実収入,勤労者世帯,年収五分位1,2010000103,211636,円
実収入,勤労者世帯,年収五分位1,2010000406,245483,円
実収入,勤労者世帯,年収五分位1,2010000709,219826,円
実収入,勤労者世帯,年収五分位1,2010001012,266330,円
実収入,勤労者世帯,年収五分位1,2011000103,208579,円
実収入,勤労者世帯,年収五分位1,2011000406,249589,円
実収入,勤労者世帯,年収五分位1,2011000709,212740,円
実収入,勤労者世帯,年収五分位1,2011001012,262015,円
実収入,勤労者世帯,年収五分位1,2012000103,216624,円
実収入,勤労者世帯,年収五分位1,2012000406,257452,円
実収入,勤労者世帯,年収五分位1,2012000709,230682,円
実収入,勤労者世帯,年収五分位1,2012001012,276355,円
実収入,勤労者世帯,年収五分位1,2013000103,225430,円
実収入,勤労者世帯,年収五分位1,2013000406,249091,円
実収入,勤労者世帯,年収五分位1,2013000709,215141,円
実収入,勤労者世帯,年収五分位1,2013001012,269068,円
実収入,勤労者世帯,年収五分位1,2014000103,215034,円
実収入,勤労者世帯,年収五分位1,2014000406,232527,円
実収入,勤労者世帯,年収五分位1,2014000709,212944,円
実収入,勤労者世帯,年収五分位1,2014001012,257214,円
実収入,勤労者世帯,年収五分位1,2015000103,203365,円
実収入,勤労者世帯,年収五分位1,2015000406,243336,円
実収入,勤労者世帯,年収五分位1,2015000709,228664,円
実収入,勤労者世帯,年収五分位1,2015001012,277547,円
実収入,勤労者世帯,年収五分位1,2016000103,209670,円
実収入,勤労者世帯,年収五分位1,2016000406,224526,円
実収入,勤労者世帯,年収五分位1,2016000709,212814,円
実収入,勤労者世帯,年収五分位1,2016001012,252067,円
実収入,勤労者世帯,年収五分位1,2017000103,201978,円
実収入,勤労者世帯,年収五分位1,2017000406,235624,円
実収入,勤労者世帯,年収五分位1,2017000709,225056,円
実収入,勤労者世帯,年収五分位1,2017001012,249336,円
実収入,勤労者世帯,年収五分位1,2018000103,214409,円
実収入,勤労者世帯,年収五分位1,2018000406,243118,円
実収入,勤労者世帯,年収五分位1,2018000709,223826,円
実収入,勤労者世帯,年収五分位1,2018001012,268159,円
実収入,勤労者世帯,年収五分位1,2019000103,215231,円
実収入,勤労者世帯,年収五分位1,2019000406,269409,円
実収入,勤労者世帯,年収五分位1,2019000709,221189,円
実収入,勤労者世帯,年収五分位1,2019001012,274372,円
実収入,勤労者世帯,年収五分位1,2020000103,210267,円
実収入,勤労者世帯,年収五分位1,2020000406,260129,円
実収入,勤労者世帯,年収五分位1,2020000709,245136,円
実収入,勤労者世帯,年収五分位1,2020001012,294934,円
実収入,勤労者世帯,年収五分位1,2021000103,203776,円
実収入,勤労者世帯,年収五分位1,2021000406,253222,円
実収入,勤労者世帯,年収五分位1,2021000709,231575,円
実収入,勤労者世帯,年収五分位1,2021001012,280799,円
実収入,勤労者世帯,年収五分位1,2022000103,216376,円
実収入,勤労者世帯,年収五分位1,2022000406,269966,円
実収入,勤労者世帯,年収五分位1,2022000709,260726,円
実収入,勤労者世帯,年収五分位1,2022001012,305164,円
実収入,勤労者世帯,年収五分位1,2023000103,226100,円
実収入,勤労者世帯,年収五分位1,2023000406,280325,円
実収入,勤労者世帯,年収五分位1,2023000709,238368,円
実収入,勤労者世帯,年収五分位1,2023001012,305158,円
実収入,勤労者世帯,年収五分位1,2024000103,224884,円
実収入,勤労者世帯,年収五分位1,2024000406,292977,円
実収入,勤労者世帯,年収五分位1,2024000709,232946,円
実収入,勤労者世帯,年収五分位1,2024001012,319724,円
実収入,勤労者世帯,年収五分位1,2025000103,236504,円
実収入,勤労者世帯,年収五分位1,2025000406,294328,円
実収入,勤労者世帯,年収五分位1,2025000709,246935,円
実収入,勤労者世帯,年収五分位1,2025001012,324244,円
実収入,勤労者世帯,年収五分位1,2026000103,255047,円
実収入,勤労者世帯,年収五分位2,2000000103,327870,円
実収入,勤労者世帯,年収五分位2,2000000406,371284,円
実収入,勤労者世帯,年収五分位2,2000000709,359165,円
実収入,勤労者世帯,年収五分位2,2000001012,443255,円
実収入,勤労者世帯,年収五分位2,2001000103,322710,円
実収入,勤労者世帯,年収五分位2,2001000406,365703,円
実収入,勤労者世帯,年収五分位2,2001000709,342116,円
実収入,勤労者世帯,年収五分位2,2001001012,408076,円
実収入,勤労者世帯,年収五分位2,2002000103,319572,円
実収入,勤労者世帯,年収五分位2,2002000406,348033,円
実収入,勤労者世帯,年収五分位2,2002000709,340757,円
実収入,勤労者世帯,年収五分位2,2002001012,400300,円
実収入,勤労者世帯,年収五分位2,2003000103,310452,円
実収入,勤労者世帯,年収五分位2,2003000406,348313,円
実収入,勤労者世帯,年収五分位2,2003000709,345558,円
実収入,勤労者世帯,年収五分位2,2003001012,418408,円
実収入,勤労者世帯,年収五分位2,2004000103,312565,円
実収入,勤労者世帯,年収五分位2,2004000406,347417,円
実収入,勤労者世帯,年収五分位2,2004000709,333713,円
実収入,勤労者世帯,年収五分位2,2004001012,396652,円
実収入,勤労者世帯,年収五分位2,2005000103,305700,円
実収入,勤労者世帯,年収五分位2,2005000406,337107,円
実収入,勤労者世帯,年収五分位2,2005000709,325645,円
実収入,勤労者世帯,年収五分位2,2005001012,374983,円
実収入,勤労者世帯,年収五分位2,2006000103,306699,円
実収入,勤労者世帯,年収五分位2,2006000406,344431,円
実収入,勤労者世帯,年収五分位2,2006000709,334585,円
実収入,勤労者世帯,年収五分位2,2006001012,394452,円
実収入,勤労者世帯,年収五分位2,2007000103,313493,円
実収入,勤労者世帯,年収五分位2,2007000406,360934,円
実収入,勤労者世帯,年収五分位2,2007000709,334939,円
実収入,勤労者世帯,年収五分位2,2007001012,399897,円
実収入,勤労者世帯,年収五分位2,2008000103,313370,円
実収入,勤労者世帯,年収五分位2,2008000406,359228,円
実収入,勤労者世帯,年収五分位2,2008000709,332040,円
実収入,勤労者世帯,年収五分位2,2008001012,393234,円
実収入,勤労者世帯,年収五分位2,2009000103,303124,円
実収入,勤労者世帯,年収五分位2,2009000406,351558,円
実収入,勤労者世帯,年収五分位2,2009000709,316459,円
実収入,勤労者世帯,年収五分位2,2009001012,370682,円
実収入,勤労者世帯,年収五分位2,2010000103,306605,円
実収入,勤労者世帯,年収五分位2,2010000406,362381,円
実収入,勤労者世帯,年収五分位2,2010000709,328860,円
実収入,勤労者世帯,年収五分位2,2010001012,390487,円
実収入,勤労者世帯,年収五分位2,2011000103,304124,円
実収入,勤労者世帯,年収五分位2,2011000406,336391,円
実収入,勤労者世帯,年収五分位2,2011000709,327941,円
実収入,勤労者世帯,年収五分位2,2011001012,385373,円
実収入,勤労者世帯,年収五分位2,2012000103,309937,円
実収入,勤労者世帯,年収五分位2,2012000406,368170,円
実収入,勤労者世帯,年収五分位2,2012000709,320980,円
実収入,勤労者世帯,年収五分位2,2012001012,397186,円
実収入,勤労者世帯,年収五分位2,2013000103,303702,円
実収入,勤労者世帯,年収五分位2,2013000406,344770,円
実収入,勤労者世帯,年収五分位2,2013000709,325568,円
実収入,勤労者世帯,年収五分位2,2013001012,385856,円
実収入,勤労者世帯,年収五分位2,2014000103,298151,円
実収入,勤労者世帯,年収五分位2,2014000406,341855,円
実収入,勤労者世帯,年収五分位2,2014000709,326213,円
実収入,勤労者世帯,年収五分位2,2014001012,395434,円
実収入,勤労者世帯,年収五分位2,2015000103,306580,円
実収入,勤労者世帯,年収五分位2,2015000406,359435,円
実収入,勤労者世帯,年収五分位2,2015000709,309548,円
実収入,勤労者世帯,年収五分位2,2015001012,386892,円
実収入,勤労者世帯,年収五分位2,2016000103,299987,円
実収入,勤労者世帯,年収五分位2,2016000406,334839,円
実収入,勤労者世帯,年収五分位2,2016000709,314993,円
実収入,勤労者世帯,年収五分位2,2016001012,391281,円
実収入,勤労者世帯,年収五分位2,2017000103,301282,円
実収入,勤労者世帯,年収五分位2,2017000406,356280,円
実収入,勤労者世帯,年収五分位2,2017000709,315619,円
実収入,勤労者世帯,年収五分位2,2017001012,426111,円
実収入,勤労者世帯,年収五分位2,2018000103,318102,円
実収入,勤労者世帯,年収五分位2,2018000406,371779,円
実収入,勤労者世帯,年収五分位2,2018000709,347794,円
実収入,勤労者世帯,年収五分位2,2018001012,402170,円
実収入,勤労者世帯,年収五分位2,2019000103,310648,円
実収入,勤労者世帯,年収五分位2,2019000406,393961,円
実収入,勤労者世帯,年収五分位2,2019000709,335900,円
実収入,勤労者世帯,年収五分位2,2019001012,422855,円
実収入,勤労者世帯,年収五分位2,2020000103,317500,円
実収入,勤労者世帯,年収五分位2,2020000406,437533,円
実収入,勤労者世帯,年収五分位2,2020000709,339852,円
実収入,勤労者世帯,年収五分位2,2020001012,431028,円
実収入,勤労者世帯,年収五分位2,2021000103,327745,円
実収入,勤労者世帯,年収五分位2,2021000406,379719,円
実収入,勤労者世帯,年収五分位2,2021000709,360064,円
実収入,勤労者世帯,年収五分位2,2021001012,428119,円
実収入,勤労者世帯,年収五分位2,2022000103,311987,円
実収入,勤労者世帯,年収五分位2,2022000406,388752,円
実収入,勤労者世帯,年収五分位2,2022000709,371245,円
実収入,勤労者世帯,年収五分位2,2022001012,457799,円
実収入,勤労者世帯,年収五分位2,2023000103,323087,円
実収入,勤労者世帯,年収五分位2,2023000406,389904,円
実収入,勤労者世帯,年収五分位2,2023000709,353124,円
実収入,勤労者世帯,年収五分位2,2023001012,441046,円
実収入,勤労者世帯,年収五分位2,2024000103,330005,円
実収入,勤労者世帯,年収五分位2,2024000406,424870,円
実収入,勤労者世帯,年収五分位2,2024000709,370363,円
実収入,勤労者世帯,年収五分位2,2024001012,455639,円
実収入,勤労者世帯,年収五分位2,2025000103,338238,円
実収入,勤労者世帯,年収五分位2,2025000406,405972,円
実収入,勤労者世帯,年収五分位2,2025000709,361673,円
実収入,勤労者世帯,年収五分位2,2025001012,471947,円
実収入,勤労者世帯,年収五分位2,2026000103,339407,円
実収入,勤労者世帯,年収五分位3,2000000103,416449,円
実収入,勤労者世帯,年収五分位3,2000000406,471809,円
実収入,勤労者世帯,年収五分位3,2000000709,451155,円
実収入,勤労者世帯,年収五分位3,2000001012,545182,円
実収入,勤労者世帯,年収五分位3,2001000103,392479,円
実収入,勤労者世帯,年収五分位3,2001000406,455647,円
実収入,勤労者世帯,年収五分位3,2001000709,433690,円
実収入,勤労者世帯,年収五分位3,2001001012,544103,円
実収入,勤労者世帯,年収五分位3,2002000103,401086,円
実収入,勤労者世帯,年収五分位3,2002000406,461812,円
実収入,勤労者世帯,年収五分位3,2002000709,425110,円
実収入,勤労者世帯,年収五分位3,2002001012,510133,円
実収入,勤労者世帯,年収五分位3,2003000103,385712,円
実収入,勤労者世帯,年収五分位3,2003000406,460997,円
実収入,勤労者世帯,年収五分位3,2003000709,438424,円
実収入,勤労者世帯,年収五分位3,2003001012,506153,円
実収入,勤労者世帯,年収五分位3,2004000103,393119,円
実収入,勤労者世帯,年収五分位3,2004000406,437267,円
実収入,勤労者世帯,年収五分位3,2004000709,417031,円
実収入,勤労者世帯,年収五分位3,2004001012,522981,円
実収入,勤労者世帯,年収五分位3,2005000103,395841,円
実収入,勤労者世帯,年収五分位3,2005000406,450806,円
実収入,勤労者世帯,年収五分位3,2005000709,407807,円
実収入,勤労者世帯,年収五分位3,2005001012,487258,円
実収入,勤労者世帯,年収五分位3,2006000103,371328,円
実収入,勤労者世帯,年収五分位3,2006000406,428739,円
実収入,勤労者世帯,年収五分位3,2006000709,424700,円
実収入,勤労者世帯,年収五分位3,2006001012,518133,円
実収入,勤労者世帯,年収五分位3,2007000103,395097,円
実収入,勤労者世帯,年収五分位3,2007000406,452106,円
実収入,勤労者世帯,年収五分位3,2007000709,426010,円
実収入,勤労者世帯,年収五分位3,2007001012,493494,円
実収入,勤労者世帯,年収五分位3,2008000103,385902,円
実収入,勤労者世帯,年収五分位3,2008000406,459892,円
実収入,勤労者世帯,年収五分位3,2008000709,435525,円
実収入,勤労者世帯,年収五分位3,2008001012,548220,円
実収入,勤労者世帯,年収五分位3,2009000103,373323,円
実収入,勤労者世帯,年収五分位3,2009000406,427942,円
実収入,勤労者世帯,年収五分位3,2009000709,397725,円
実収入,勤労者世帯,年収五分位3,2009001012,493957,円
実収入,勤労者世帯,年収五分位3,2010000103,371265,円
実収入,勤労者世帯,年収五分位3,2010000406,444507,円
実収入,勤労者世帯,年収五分位3,2010000709,406551,円
実収入,勤労者世帯,年収五分位3,2010001012,505028,円
実収入,勤労者世帯,年収五分位3,2011000103,367082,円
実収入,勤労者世帯,年収五分位3,2011000406,432326,円
実収入,勤労者世帯,年収五分位3,2011000709,403185,円
実収入,勤労者世帯,年収五分位3,2011001012,479310,円
実収入,勤労者世帯,年収五分位3,2012000103,384152,円
実収入,勤労者世帯,年収五分位3,2012000406,444790,円
実収入,勤労者世帯,年収五分位3,2012000709,405129,円
実収入,勤労者世帯,年収五分位3,2012001012,485201,円
実収入,勤労者世帯,年収五分位3,2013000103,370929,円
実収入,勤労者世帯,年収五分位3,2013000406,439683,円
実収入,勤労者世帯,年収五分位3,2013000709,399972,円
実収入,勤労者世帯,年収五分位3,2013001012,487511,円
実収入,勤労者世帯,年収五分位3,2014000103,384196,円
実収入,勤労者世帯,年収五分位3,2014000406,457073,円
実収入,勤労者世帯,年収五分位3,2014000709,408402,円
実収入,勤労者世帯,年収五分位3,2014001012,511117,円
実収入,勤労者世帯,年収五分位3,2015000103,386136,円
実収入,勤労者世帯,年収五分位3,2015000406,439260,円
実収入,勤労者世帯,年収五分位3,2015000709,393417,円
実収入,勤労者世帯,年収五分位3,2015001012,511058,円
実収入,勤労者世帯,年収五分位3,2016000103,379315,円
実収入,勤労者世帯,年収五分位3,2016000406,430714,円
実収入,勤労者世帯,年収五分位3,2016000709,388543,円
実収入,勤労者世帯,年収五分位3,2016001012,480975,円
実収入,勤労者世帯,年収五分位3,2017000103,370528,円
実収入,勤労者世帯,年収五分位3,2017000406,431602,円
実収入,勤労者世帯,年収五分位3,2017000709,401164,円
実収入,勤労者世帯,年収五分位3,2017001012,512599,円
実収入,勤労者世帯,年収五分位3,2018000103,393974,円
実収入,勤労者世帯,年収五分位3,2018000406,459275,円
実収入,勤労者世帯,年収五分位3,2018000709,436307,円
実収入,勤労者世帯,年収五分位3,2018001012,544617,円
実収入,勤労者世帯,年収五分位3,2019000103,416204,円
実収入,勤労者世帯,年収五分位3,2019000406,482927,円
実収入,勤労者世帯,年収五分位3,2019000709,439304,円
実収入,勤労者世帯,年収五分位3,2019001012,543141,円
実収入,勤労者世帯,年収五分位3,2020000103,406026,円
実収入,勤労者世帯,年収五分位3,2020000406,544443,円
実収入,勤労者世帯,年収五分位3,2020000709,434249,円
実収入,勤労者世帯,年収五分位3,2020001012,515640,円
実収入,勤労者世帯,年収五分位3,2021000103,404257,円
実収入,勤労者世帯,年収五分位3,2021000406,506591,円
実収入,勤労者世帯,年収五分位3,2021000709,448214,円
実収入,勤労者世帯,年収五分位3,2021001012,545144,円
実収入,勤労者世帯,年収五分位3,2022000103,403655,円
実収入,勤労者世帯,年収五分位3,2022000406,524329,円
実収入,勤労者世帯,年収五分位3,2022000709,431720,円
実収入,勤労者世帯,年収五分位3,2022001012,562215,円
実収入,勤労者世帯,年収五分位3,2023000103,419305,円
実収入,勤労者世帯,年収五分位3,2023000406,492574,円
実収入,勤労者世帯,年収五分位3,2023000709,428448,円
実収入,勤労者世帯,年収五分位3,2023001012,528195,円
実収入,勤労者世帯,年収五分位3,2024000103,402139,円
実収入,勤労者世帯,年収五分位3,2024000406,509123,円
実収入,勤労者世帯,年収五分位3,2024000709,449553,円
実収入,勤労者世帯,年収五分位3,2024001012,555530,円
実収入,勤労者世帯,年収五分位3,2025000103,398430,円
実収入,勤労者世帯,年収五分位3,2025000406,529087,円
実収入,勤労者世帯,年収五分位3,2025000709,468291,円
実収入,勤労者世帯,年収五分位3,2025001012,614436,円
実収入,勤労者世帯,年収五分位3,2026000103,428660,円
実収入,勤労者世帯,年収五分位4,2000000103,521838,円
実収入,勤労者世帯,年収五分位4,2000000406,612836,円
実収入,勤労者世帯,年収五分位4,2000000709,566689,円
実収入,勤労者世帯,年収五分位4,2000001012,710628,円
実収入,勤労者世帯,年収五分位4,2001000103,504759,円
実収入,勤労者世帯,年収五分位4,2001000406,611594,円
実収入,勤労者世帯,年収五分位4,2001000709,546535,円
実収入,勤労者世帯,年収五分位4,2001001012,700841,円
実収入,勤労者世帯,年収五分位4,2002000103,511370,円
実収入,勤労者世帯,年収五分位4,2002000406,602232,円
実収入,勤労者世帯,年収五分位4,2002000709,540240,円
実収入,勤労者世帯,年収五分位4,2002001012,679405,円
実収入,勤労者世帯,年収五分位4,2003000103,489417,円
実収入,勤労者世帯,年収五分位4,2003000406,582965,円
実収入,勤労者世帯,年収五分位4,2003000709,535411,円
実収入,勤労者世帯,年収五分位4,2003001012,658567,円
実収入,勤労者世帯,年収五分位4,2004000103,496819,円
実収入,勤労者世帯,年収五分位4,2004000406,605083,円
実収入,勤労者世帯,年収五分位4,2004000709,546982,円
実収入,勤労者世帯,年収五分位4,2004001012,663484,円
実収入,勤労者世帯,年収五分位4,2005000103,481762,円
実収入,勤労者世帯,年収五分位4,2005000406,594326,円
実収入,勤労者世帯,年収五分位4,2005000709,510084,円
実収入,勤労者世帯,年収五分位4,2005001012,657037,円
実収入,勤労者世帯,年収五分位4,2006000103,460980,円
実収入,勤労者世帯,年収五分位4,2006000406,558879,円
実収入,勤労者世帯,年収五分位4,2006000709,531653,円
実収入,勤労者世帯,年収五分位4,2006001012,670880,円
実収入,勤労者世帯,年収五分位4,2007000103,466608,円
実収入,勤労者世帯,年収五分位4,2007000406,580938,円
実収入,勤労者世帯,年収五分位4,2007000709,524239,円
実収入,勤労者世帯,年収五分位4,2007001012,682216,円
実収入,勤労者世帯,年収五分位4,2008000103,488715,円
実収入,勤労者世帯,年収五分位4,2008000406,582782,円
実収入,勤労者世帯,年収五分位4,2008000709,511788,円
実収入,勤労者世帯,年収五分位4,2008001012,685641,円
実収入,勤労者世帯,年収五分位4,2009000103,463442,円
実収入,勤労者世帯,年収五分位4,2009000406,556095,円
実収入,勤労者世帯,年収五分位4,2009000709,512636,円
実収入,勤労者世帯,年収五分位4,2009001012,643825,円
実収入,勤労者世帯,年収五分位4,2010000103,467874,円
実収入,勤労者世帯,年収五分位4,2010000406,578716,円
実収入,勤労者世帯,年収五分位4,2010000709,516183,円
実収入,勤労者世帯,年収五分位4,2010001012,641870,円
実収入,勤労者世帯,年収五分位4,2011000103,460098,円
実収入,勤労者世帯,年収五分位4,2011000406,548456,円
実収入,勤労者世帯,年収五分位4,2011000709,498963,円
実収入,勤労者世帯,年収五分位4,2011001012,642784,円
実収入,勤労者世帯,年収五分位4,2012000103,461223,円
実収入,勤労者世帯,年収五分位4,2012000406,560430,円
実収入,勤労者世帯,年収五分位4,2012000709,504946,円
実収入,勤労者世帯,年収五分位4,2012001012,634782,円
実収入,勤労者世帯,年収五分位4,2013000103,474817,円
実収入,勤労者世帯,年収五分位4,2013000406,570809,円
実収入,勤労者世帯,年収五分位4,2013000709,514116,円
実収入,勤労者世帯,年収五分位4,2013001012,644669,円
実収入,勤労者世帯,年収五分位4,2014000103,473663,円
実収入,勤労者世帯,年収五分位4,2014000406,573870,円
実収入,勤労者世帯,年収五分位4,2014000709,495662,円
実収入,勤労者世帯,年収五分位4,2014001012,665635,円
実収入,勤労者世帯,年収五分位4,2015000103,492382,円
実収入,勤労者世帯,年収五分位4,2015000406,576189,円
実収入,勤労者世帯,年収五分位4,2015000709,517538,円
実収入,勤労者世帯,年収五分位4,2015001012,630973,円
実収入,勤労者世帯,年収五分位4,2016000103,472644,円
実収入,勤労者世帯,年収五分位4,2016000406,547290,円
実収入,勤労者世帯,年収五分位4,2016000709,489092,円
実収入,勤労者世帯,年収五分位4,2016001012,645077,円
実収入,勤労者世帯,年収五分位4,2017000103,457133,円
実収入,勤労者世帯,年収五分位4,2017000406,575788,円
実収入,勤労者世帯,年収五分位4,2017000709,517992,円
実収入,勤労者世帯,年収五分位4,2017001012,656505,円
実収入,勤労者世帯,年収五分位4,2018000103,482600,円
実収入,勤労者世帯,年収五分位4,2018000406,590549,円
実収入,勤労者世帯,年収五分位4,2018000709,524486,円
実収入,勤労者世帯,年収五分位4,2018001012,688221,円
実収入,勤労者世帯,年収五分位4,2019000103,497495,円
実収入,勤労者世帯,年収五分位4,2019000406,643651,円
実収入,勤労者世帯,年収五分位4,2019000709,529793,円
実収入,勤労者世帯,年収五分位4,2019001012,703086,円
実収入,勤労者世帯,年収五分位4,2020000103,508037,円
実収入,勤労者世帯,年収五分位4,2020000406,701135,円
実収入,勤労者世帯,年収五分位4,2020000709,583119,円
実収入,勤労者世帯,年収五分位4,2020001012,693289,円
実収入,勤労者世帯,年収五分位4,2021000103,482873,円
実収入,勤労者世帯,年収五分位4,2021000406,651405,円
実収入,勤労者世帯,年収五分位4,2021000709,563999,円
実収入,勤労者世帯,年収五分位4,2021001012,706974,円
実収入,勤労者世帯,年収五分位4,2022000103,508096,円
実収入,勤労者世帯,年収五分位4,2022000406,644504,円
実収入,勤労者世帯,年収五分位4,2022000709,576533,円
実収入,勤労者世帯,年収五分位4,2022001012,770482,円
実収入,勤労者世帯,年収五分位4,2023000103,508009,円
実収入,勤労者世帯,年収五分位4,2023000406,636743,円
実収入,勤労者世帯,年収五分位4,2023000709,554430,円
実収入,勤労者世帯,年収五分位4,2023001012,700342,円
実収入,勤労者世帯,年収五分位4,2024000103,514125,円
実収入,勤労者世帯,年収五分位4,2024000406,670039,円
実収入,勤労者世帯,年収五分位4,2024000709,579574,円
実収入,勤労者世帯,年収五分位4,2024001012,741779,円
実収入,勤労者世帯,年収五分位4,2025000103,520326,円
実収入,勤労者世帯,年収五分位4,2025000406,697113,円
実収入,勤労者世帯,年収五分位4,2025000709,574858,円
実収入,勤労者世帯,年収五分位4,2025001012,737820,円
実収入,勤労者世帯,年収五分位4,2026000103,544244,円
実収入,勤労者世帯,年収五分位5,2000000103,702076,円
実収入,勤労者世帯,年収五分位5,2000000406,925389,円
実収入,勤労者世帯,年収五分位5,2000000709,769567,円
実収入,勤労者世帯,年収五分位5,2000001012,1021553,円
実収入,勤労者世帯,年収五分位5,2001000103,690929,円
実収入,勤労者世帯,年収五分位5,2001000406,888490,円
実収入,勤労者世帯,年収五分位5,2001000709,761190,円
実収入,勤労者世帯,年収五分位5,2001001012,1001701,円
実収入,勤労者世帯,年収五分位5,2002000103,718380,円
実収入,勤労者世帯,年収五分位5,2002000406,878092,円
実収入,勤労者世帯,年収五分位5,2002000709,733673,円
実収入,勤労者世帯,年収五分位5,2002001012,960869,円
実収入,勤労者世帯,年収五分位5,2003000103,667396,円
実収入,勤労者世帯,年収五分位5,2003000406,842472,円
実収入,勤労者世帯,年収五分位5,2003000709,721121,円
実収入,勤労者世帯,年収五分位5,2003001012,951461,円
実収入,勤労者世帯,年収五分位5,2004000103,683984,円
実収入,勤労者世帯,年収五分位5,2004000406,875624,円
実収入,勤労者世帯,年収五分位5,2004000709,740943,円
実収入,勤労者世帯,年収五分位5,2004001012,951932,円
実収入,勤労者世帯,年収五分位5,2005000103,670931,円
実収入,勤労者世帯,年収五分位5,2005000406,872567,円
実収入,勤労者世帯,年収五分位5,2005000709,735401,円
実収入,勤労者世帯,年収五分位5,2005001012,943188,円
実収入,勤労者世帯,年収五分位5,2006000103,666330,円
実収入,勤労者世帯,年収五分位5,2006000406,849576,円
実収入,勤労者世帯,年収五分位5,2006000709,764936,円
実収入,勤労者世帯,年収五分位5,2006001012,1022315,円
実収入,勤労者世帯,年収五分位5,2007000103,678159,円
実収入,勤労者世帯,年収五分位5,2007000406,864442,円
実収入,勤労者世帯,年収五分位5,2007000709,742012,円
実収入,勤労者世帯,年収五分位5,2007001012,974053,円
実収入,勤労者世帯,年収五分位5,2008000103,681765,円
実収入,勤労者世帯,年収五分位5,2008000406,874717,円
実収入,勤労者世帯,年収五分位5,2008000709,766503,円
実収入,勤労者世帯,年収五分位5,2008001012,998932,円
実収入,勤労者世帯,年収五分位5,2009000103,671392,円
実収入,勤労者世帯,年収五分位5,2009000406,845826,円
実収入,勤労者世帯,年収五分位5,2009000709,728037,円
実収入,勤労者世帯,年収五分位5,2009001012,932270,円
実収入,勤労者世帯,年収五分位5,2010000103,663432,円
実収入,勤労者世帯,年収五分位5,2010000406,854691,円
実収入,勤労者世帯,年収五分位5,2010000709,712359,円
実収入,勤労者世帯,年収五分位5,2010001012,955480,円
実収入,勤労者世帯,年収五分位5,2011000103,641363,円
実収入,勤労者世帯,年収五分位5,2011000406,805722,円
実収入,勤労者世帯,年収五分位5,2011000709,737036,円
実収入,勤労者世帯,年収五分位5,2011001012,939165,円
実収入,勤労者世帯,年収五分位5,2012000103,652961,円
実収入,勤労者世帯,年収五分位5,2012000406,803869,円
実収入,勤労者世帯,年収五分位5,2012000709,717216,円
実収入,勤労者世帯,年収五分位5,2012001012,957494,円
実収入,勤労者世帯,年収五分位5,2013000103,662647,円
実収入,勤労者世帯,年収五分位5,2013000406,835314,円
実収入,勤労者世帯,年収五分位5,2013000709,727898,円
実収入,勤労者世帯,年収五分位5,2013001012,938730,円
実収入,勤労者世帯,年収五分位5,2014000103,659265,円
実収入,勤労者世帯,年収五分位5,2014000406,825062,円
実収入,勤労者世帯,年収五分位5,2014000709,719770,円
実収入,勤労者世帯,年収五分位5,2014001012,975933,円
実収入,勤労者世帯,年収五分位5,2015000103,678558,円
