貯蓄余力世帯,食料比率,住居比率,光熱・水道比率,家具・家事用品比率,被服及び履物比率,保健医療比率,交通・通信比率,教育比率,教養娯楽比率,その他消費比率
貯蓄余力の低い世帯,22.95,7.68,6.43,3.29,3.65,5.06,14.75,3.8,10.68,21.71
貯蓄余力の高い世帯,28.17,4.57,8.42,3.31,4.46,4.45,11.26,4.57,10.68,20.11
