貯蓄現在高階級,年,世帯数分布
1200～1400万円,2014,446
1400～1600万円,2014,421
1600～1800万円,2014,320
1800～2000万円,2014,321
2000～2500万円,2014,670
200～300万円,2014,574
2500～3000万円,2014,463
3000～4000万円,2014,650
300～400万円,2014,505
4000万円以上,2014,1138
400～500万円,2014,418
500～600万円,2014,499
600～700万円,2014,406
700～800万円,2014,337
800～900万円,2014,309
900～1000万円,2014,324
1000～1200万円,2015,579
100万円未満,2015,1108
100～200万円,2015,574
1200～1400万円,2015,484
1400～1600万円,2015,417
1600～1800万円,2015,337
1800～2000万円,2015,294
2000～2500万円,2015,608
200～300万円,2015,565
2500～3000万円,2015,473
3000～4000万円,2015,616
300～400万円,2015,506
4000万円以上,2015,1213
400～500万円,2015,440
500～600万円,2015,455
600～700万円,2015,388
700～800万円,2015,348
800～900万円,2015,311
900～1000万円,2015,284
1000～1200万円,2016,560
100万円未満,2016,1051
100～200万円,2016,619
1200～1400万円,2016,480
1400～1600万円,2016,414
1600～1800万円,2016,309
1800～2000万円,2016,290
2000～2500万円,2016,626
200～300万円,2016,565
2500～3000万円,2016,446
3000～4000万円,2016,636
300～400万円,2016,501
4000万円以上,2016,1257
400～500万円,2016,446
500～600万円,2016,486
600～700万円,2016,386
700～800万円,2016,338
800～900万円,2016,326
900～1000万円,2016,266
1000～1200万円,2017,556
100万円未満,2017,996
100～200万円,2017,531
1200～1400万円,2017,472
1400～1600万円,2017,413
1600～1800万円,2017,323
1800～2000万円,2017,314
2000～2500万円,2017,632
200～300万円,2017,524
2500～3000万円,2017,495
3000～4000万円,2017,695
300～400万円,2017,531
4000万円以上,2017,1183
400～500万円,2017,462
500～600万円,2017,411
600～700万円,2017,425
700～800万円,2017,371
800～900万円,2017,351
900～1000万円,2017,315
1000～1200万円,2018,603
100万円未満,2018,1096
100～200万円,2018,575
1200～1400万円,2018,468
1400～1600万円,2018,416
1600～1800万円,2018,320
1800～2000万円,2018,270
2000～2500万円,2018,633
200～300万円,2018,544
2500～3000万円,2018,467
3000～4000万円,2018,680
300～400万円,2018,561
4000万円以上,2018,1107
400～500万円,2018,474
500～600万円,2018,431
600～700万円,2018,397
700～800万円,2018,331
800～900万円,2018,337
900～1000万円,2018,291
1000～1200万円,2019,592
100万円未満,2019,1073
100～200万円,2019,597
1200～1400万円,2019,484
1400～1600万円,2019,396
1600～1800万円,2019,352
1800～2000万円,2019,299
2000～2500万円,2019,595
200～300万円,2019,532
2500～3000万円,2019,475
3000～4000万円,2019,623
300～400万円,2019,511
4000万円以上,2019,1140
400～500万円,2019,442
500～600万円,2019,488
600～700万円,2019,415
700～800万円,2019,369
800～900万円,2019,348
900～1000万円,2019,268
1000～1200万円,2020,601
100万円未満,2020,1013
100～200万円,2020,576
1200～1400万円,2020,495
1400～1600万円,2020,406
1600～1800万円,2020,334
1800～2000万円,2020,282
2000～2500万円,2020,661
200～300万円,2020,527
2500～3000万円,2020,482
3000～4000万円,2020,638
300～400万円,2020,515
4000万円以上,2020,1205
400～500万円,2020,454
500～600万円,2020,452
600～700万円,2020,378
700～800万円,2020,378
800～900万円,2020,330
900～1000万円,2020,272
1000～1200万円,2021,527
100万円未満,2021,1050
100～200万円,2021,525
1200～1400万円,2021,491
1400～1600万円,2021,396
1600～1800万円,2021,360
1800～2000万円,2021,273
2000～2500万円,2021,642
200～300万円,2021,485
2500～3000万円,2021,478
3000～4000万円,2021,672
300～400万円,2021,504
4000万円以上,2021,1282
400～500万円,2021,423
