項目,年齢階級,年間収入階級,値,単位
負債現在高,70歳以上,平均,192.6,万円
負債現在高,30歳未満,100万円未満,19.5,万円
負債現在高,30～39,100万円未満,124.7,万円
負債現在高,40～49,100万円未満,101.5,万円
負債現在高,50～59,100万円未満,151.3,万円
負債現在高,60～69,100万円未満,45.6,万円
負債現在高,70歳以上,100万円未満,9.5,万円
負債現在高,30歳未満,100～150万円,175.4,万円
負債現在高,30～39,100～150万円,113.1,万円
負債現在高,40～49,100～150万円,120.4,万円
負債現在高,50～59,100～150万円,81.7,万円
負債現在高,60～69,100～150万円,63.9,万円
負債現在高,70歳以上,100～150万円,10.5,万円
負債現在高,30歳未満,150～200万円,13.9,万円
負債現在高,30～39,150～200万円,103.1,万円
負債現在高,40～49,150～200万円,172.3,万円
負債現在高,50～59,150～200万円,73.6,万円
負債現在高,60～69,150～200万円,67.8,万円
負債現在高,70歳以上,150～200万円,75.8,万円
負債現在高,30歳未満,200～250万円,112.8,万円
負債現在高,30～39,200～250万円,160.5,万円
負債現在高,40～49,200～250万円,281.5,万円
負債現在高,50～59,200～250万円,130.0,万円
負債現在高,60～69,200～250万円,108.7,万円
負債現在高,70歳以上,200～250万円,12.7,万円
負債現在高,30歳未満,250～300万円,31.8,万円
負債現在高,30～39,250～300万円,220.5,万円
負債現在高,40～49,250～300万円,271.1,万円
負債現在高,50～59,250～300万円,264.1,万円
負債現在高,60～69,250～300万円,44.8,万円
負債現在高,70歳以上,250～300万円,30.4,万円
負債現在高,30歳未満,300～350万円,156.0,万円
負債現在高,30～39,300～350万円,413.8,万円
負債現在高,40～49,300～350万円,608.0,万円
負債現在高,50～59,300～350万円,359.4,万円
負債現在高,60～69,300～350万円,99.1,万円
負債現在高,70歳以上,300～350万円,28.7,万円
負債現在高,30歳未満,350～400万円,391.2,万円
負債現在高,30～39,350～400万円,701.1,万円
負債現在高,40～49,350～400万円,425.3,万円
負債現在高,50～59,350～400万円,235.2,万円
負債現在高,60～69,350～400万円,160.2,万円
負債現在高,70歳以上,350～400万円,49.0,万円
負債現在高,30歳未満,400～450万円,819.6,万円
負債現在高,30～39,400～450万円,927.6,万円
負債現在高,40～49,400～450万円,557.1,万円
負債現在高,50～59,400～450万円,390.2,万円
負債現在高,60～69,400～450万円,128.9,万円
負債現在高,70歳以上,400～450万円,55.4,万円
負債現在高,30歳未満,450～500万円,738.2,万円
負債現在高,30～39,450～500万円,1003.8,万円
負債現在高,40～49,450～500万円,839.8,万円
負債現在高,50～59,450～500万円,569.3,万円
負債現在高,60～69,450～500万円,147.6,万円
負債現在高,70歳以上,450～500万円,122.8,万円
負債現在高,30歳未満,500～550万円,999.0,万円
負債現在高,30～39,500～550万円,1107.8,万円
負債現在高,40～49,500～550万円,850.1,万円
負債現在高,50～59,500～550万円,466.4,万円
負債現在高,60～69,500～550万円,272.9,万円
負債現在高,70歳以上,500～550万円,140.2,万円
負債現在高,30歳未満,550～600万円,809.6,万円
負債現在高,30～39,550～600万円,1229.1,万円
負債現在高,40～49,550～600万円,1047.1,万円
負債現在高,50～59,550～600万円,485.5,万円
負債現在高,60～69,550～600万円,268.9,万円
負債現在高,70歳以上,550～600万円,152.4,万円
負債現在高,30歳未満,600～650万円,476.3,万円
負債現在高,30～39,600～650万円,1308.9,万円
負債現在高,40～49,600～650万円,1164.8,万円
負債現在高,50～59,600～650万円,595.3,万円
負債現在高,60～69,600～650万円,262.3,万円
負債現在高,70歳以上,600～650万円,131.1,万円
負債現在高,30歳未満,650～700万円,523.8,万円
負債現在高,30～39,650～700万円,1331.5,万円
負債現在高,40～49,650～700万円,1097.5,万円
負債現在高,50～59,650～700万円,632.8,万円
負債現在高,60～69,650～700万円,224.3,万円
負債現在高,70歳以上,650～700万円,172.9,万円
負債現在高,30歳未満,700～750万円,520.8,万円
負債現在高,30～39,700～750万円,1384.8,万円
負債現在高,40～49,700～750万円,1050.7,万円
負債現在高,50～59,700～750万円,677.8,万円
負債現在高,60～69,700～750万円,319.9,万円
負債現在高,70歳以上,700～750万円,209.4,万円
負債現在高,30歳未満,750～800万円,361.3,万円
負債現在高,30～39,750～800万円,1449.1,万円
負債現在高,40～49,750～800万円,1222.2,万円
負債現在高,50～59,750～800万円,826.4,万円
負債現在高,60～69,750～800万円,309.5,万円
負債現在高,70歳以上,750～800万円,160.4,万円
負債現在高,30歳未満,800～850万円,850.1,万円
負債現在高,30～39,800～850万円,1339.5,万円
負債現在高,40～49,800～850万円,1270.7,万円
負債現在高,50～59,800～850万円,789.6,万円
負債現在高,60～69,800～850万円,290.2,万円
負債現在高,70歳以上,800～850万円,126.0,万円
負債現在高,30歳未満,850～900万円,581.8,万円
負債現在高,30～39,850～900万円,1342.4,万円
負債現在高,40～49,850～900万円,1371.9,万円
負債現在高,50～59,850～900万円,855.8,万円
負債現在高,60～69,850～900万円,593.3,万円
負債現在高,70歳以上,850～900万円,352.9,万円
負債現在高,30歳未満,900～950万円,488.9,万円
負債現在高,30～39,900～950万円,1672.1,万円
負債現在高,40～49,900～950万円,1532.7,万円
負債現在高,50～59,900～950万円,783.0,万円
負債現在高,60～69,900～950万円,315.8,万円
負債現在高,70歳以上,900～950万円,494.7,万円
負債現在高,30歳未満,950～1000万円,612.1,万円
負債現在高,30～39,950～1000万円,1511.2,万円
負債現在高,40～49,950～1000万円,1487.8,万円
負債現在高,50～59,950～1000万円,789.1,万円
負債現在高,60～69,950～1000万円,334.3,万円
負債現在高,70歳以上,950～1000万円,1170.4,万円
負債現在高,30歳未満,1000～1050万円,649.4,万円
負債現在高,30～39,1000～1050万円,1418.8,万円
負債現在高,40～49,1000～1050万円,1549.5,万円
負債現在高,50～59,1000～1050万円,691.5,万円
負債現在高,60～69,1000～1050万円,381.1,万円
負債現在高,70歳以上,1000～1050万円,186.4,万円
負債現在高,30歳未満,1050～1100万円,215.2,万円
負債現在高,30～39,1050～1100万円,1919.9,万円
負債現在高,40～49,1050～1100万円,1612.8,万円
負債現在高,50～59,1050～1100万円,735.8,万円
負債現在高,60～69,1050～1100万円,364.6,万円
負債現在高,70歳以上,1050～1100万円,571.8,万円
負債現在高,30～39,1100～1150万円,1970.0,万円
負債現在高,40～49,1100～1150万円,1444.1,万円
負債現在高,50～59,1100～1150万円,794.6,万円
負債現在高,60～69,1100～1150万円,645.1,万円
負債現在高,70歳以上,1100～1150万円,402.7,万円
負債現在高,30～39,1150～1200万円,2413.2,万円
負債現在高,40～49,1150～1200万円,1555.4,万円
負債現在高,50～59,1150～1200万円,1012.5,万円
負債現在高,60～69,1150～1200万円,476.7,万円
負債現在高,70歳以上,1150～1200万円,271.0,万円
負債現在高,30歳未満,1200～1250万円,2023.4,万円
負債現在高,30～39,1200～1250万円,1431.0,万円
負債現在高,40～49,1200～1250万円,1408.8,万円
負債現在高,50～59,1200～1250万円,1126.7,万円
負債現在高,60～69,1200～1250万円,376.0,万円
負債現在高,70歳以上,1200～1250万円,631.8,万円
負債現在高,30～39,1250～1300万円,2052.4,万円
負債現在高,40～49,1250～1300万円,1778.7,万円
負債現在高,50～59,1250～1300万円,1041.6,万円
負債現在高,60～69,1250～1300万円,406.7,万円
負債現在高,70歳以上,1250～1300万円,642.3,万円
負債現在高,30歳未満,1300～1350万円,89.7,万円
負債現在高,30～39,1300～1350万円,1956.4,万円
負債現在高,40～49,1300～1350万円,1860.6,万円
負債現在高,50～59,1300～1350万円,756.1,万円
負債現在高,60～69,1300～1350万円,705.4,万円
負債現在高,70歳以上,1300～1350万円,860.1,万円
負債現在高,30～39,1350～1400万円,1447.5,万円
負債現在高,40～49,1350～1400万円,1231.9,万円
負債現在高,50～59,1350～1400万円,567.6,万円
負債現在高,60～69,1350～1400万円,588.2,万円
負債現在高,70歳以上,1350～1400万円,568.4,万円
負債現在高,30～39,1400～1450万円,2432.8,万円
負債現在高,40～49,1400～1450万円,1304.2,万円
負債現在高,50～59,1400～1450万円,694.3,万円
負債現在高,60～69,1400～1450万円,893.4,万円
負債現在高,70歳以上,1400～1450万円,617.4,万円
負債現在高,30～39,1450～1500万円,2093.0,万円
負債現在高,40～49,1450～1500万円,3843.3,万円
負債現在高,50～59,1450～1500万円,972.3,万円
負債現在高,60～69,1450～1500万円,311.8,万円
負債現在高,70歳以上,1450～1500万円,924.3,万円
負債現在高,30～39,1500～1550万円,1510.2,万円
負債現在高,40～49,1500～1550万円,1408.6,万円
負債現在高,50～59,1500～1550万円,935.5,万円
負債現在高,60～69,1500～1550万円,1623.4,万円
負債現在高,70歳以上,1500～1550万円,1223.6,万円
負債現在高,30～39,1550～1600万円,1419.6,万円
負債現在高,40～49,1550～1600万円,1906.4,万円
負債現在高,50～59,1550～1600万円,917.0,万円
負債現在高,60～69,1550～1600万円,412.2,万円
負債現在高,70歳以上,1550～1600万円,1030.7,万円
負債現在高,30～39,1600～1650万円,2000.6,万円
負債現在高,40～49,1600～1650万円,2290.8,万円
負債現在高,50～59,1600～1650万円,898.1,万円
負債現在高,60～69,1600～1650万円,1690.5,万円
負債現在高,70歳以上,1600～1650万円,153.2,万円
負債現在高,30～39,1650～1700万円,1660.2,万円
負債現在高,40～49,1650～1700万円,2145.0,万円
負債現在高,50～59,1650～1700万円,866.7,万円
負債現在高,60～69,1650～1700万円,488.8,万円
負債現在高,70歳以上,1650～1700万円,930.8,万円
負債現在高,30～39,1700～1750万円,1141.5,万円
負債現在高,40～49,1700～1750万円,1988.1,万円
負債現在高,50～59,1700～1750万円,1160.8,万円
負債現在高,60～69,1700～1750万円,737.5,万円
負債現在高,70歳以上,1700～1750万円,269.1,万円
負債現在高,30～39,1750～1800万円,1187.6,万円
負債現在高,40～49,1750～1800万円,1589.1,万円
負債現在高,50～59,1750～1800万円,736.0,万円
負債現在高,60～69,1750～1800万円,348.0,万円
負債現在高,70歳以上,1750～1800万円,1426.0,万円
負債現在高,30～39,1800～1850万円,695.9,万円
負債現在高,40～49,1800～1850万円,1263.9,万円
負債現在高,50～59,1800～1850万円,828.3,万円
負債現在高,60～69,1800～1850万円,627.4,万円
負債現在高,70歳以上,1800～1850万円,296.8,万円
負債現在高,40～49,1850～1900万円,1971.8,万円
負債現在高,50～59,1850～1900万円,1131.3,万円
負債現在高,60～69,1850～1900万円,381.3,万円
負債現在高,70歳以上,1850～1900万円,1226.1,万円
負債現在高,30～39,1900～1950万円,1893.9,万円
負債現在高,40～49,1900～1950万円,714.5,万円
負債現在高,50～59,1900～1950万円,1812.6,万円
負債現在高,60～69,1900～1950万円,692.1,万円
負債現在高,70歳以上,1900～1950万円,1902.6,万円
負債現在高,40～49,1950～2000万円,1970.4,万円
負債現在高,50～59,1950～2000万円,1072.3,万円
負債現在高,60～69,1950～2000万円,947.9,万円
負債現在高,70歳以上,1950～2000万円,911.1,万円
負債現在高,30～39,2000万円以上,4219.5,万円
負債現在高,40～49,2000万円以上,2073.0,万円
負債現在高,50～59,2000万円以上,1721.7,万円
負債現在高,60～69,2000万円以上,3215.0,万円
負債現在高,70歳以上,2000万円以上,4852.4,万円
